nodeID,H,T,seizoen,methode
CFBerg_IV_20,-5.01,25,geheel jaar,Gumbel fit
CFBerg_IV_20,-4.996,50,geheel jaar,Gumbel fit
CFBerg_IV_20,-4.983,100,geheel jaar,Gumbel fit
61,-5.636,10,geheel jaar,gewogen gemiddelde
61,-5.694,10,alleen zomer,gewogen gemiddelde
61,-5.705,10,alleen zomer,Gumbel fit
61,-5.617,10,geheel jaar,Gumbel fit
61,-5.564,25,geheel jaar,Gumbel fit
61,-5.524,50,geheel jaar,Gumbel fit
61,-5.484,100,geheel jaar,Gumbel fit
165,-5.666,10,geheel jaar,gewogen gemiddelde
165,-5.701,10,alleen zomer,gewogen gemiddelde
165,-5.719,10,alleen zomer,Gumbel fit
165,-5.643,10,geheel jaar,Gumbel fit
165,-5.586,25,geheel jaar,Gumbel fit
165,-5.543,50,geheel jaar,Gumbel fit
165,-5.5,100,geheel jaar,Gumbel fit
37,-5.678,10,geheel jaar,gewogen gemiddelde
37,-5.714,10,alleen zomer,gewogen gemiddelde
37,-5.727,10,alleen zomer,Gumbel fit
37,-5.648,10,geheel jaar,Gumbel fit
37,-5.593,25,geheel jaar,Gumbel fit
37,-5.551,50,geheel jaar,Gumbel fit
37,-5.508,100,geheel jaar,Gumbel fit
74,-5.592,10,geheel jaar,gewogen gemiddelde
74,-5.679,10,alleen zomer,gewogen gemiddelde
74,-5.665,10,alleen zomer,Gumbel fit
74,-5.581,10,geheel jaar,Gumbel fit
74,-5.535,25,geheel jaar,Gumbel fit
74,-5.5,50,geheel jaar,Gumbel fit
74,-5.465,100,geheel jaar,Gumbel fit
76,-5.127,10,geheel jaar,gewogen gemiddelde
76,-5.13,10,alleen zomer,gewogen gemiddelde
76,-5.132,10,alleen zomer,Gumbel fit
76,-5.124,10,geheel jaar,Gumbel fit
76,-5.116,25,geheel jaar,Gumbel fit
76,-5.11,50,geheel jaar,Gumbel fit
76,-5.104,100,geheel jaar,Gumbel fit
CFBerg_IV_c,-5.684,10,geheel jaar,gewogen gemiddelde
CFBerg_IV_c,-5.72,10,alleen zomer,gewogen gemiddelde
CFBerg_IV_c,-5.733,10,alleen zomer,Gumbel fit
CFBerg_IV_c,-5.654,10,geheel jaar,Gumbel fit
CFBerg_IV_c,-5.597,25,geheel jaar,Gumbel fit
CFBerg_IV_c,-5.555,50,geheel jaar,Gumbel fit
CFBerg_IV_c,-5.512,100,geheel jaar,Gumbel fit
88,-5.691,10,geheel jaar,gewogen gemiddelde
88,-5.728,10,alleen zomer,gewogen gemiddelde
88,-5.741,10,alleen zomer,Gumbel fit
88,-5.66,10,geheel jaar,Gumbel fit
88,-5.603,25,geheel jaar,Gumbel fit
88,-5.559,50,geheel jaar,Gumbel fit
88,-5.516,100,geheel jaar,Gumbel fit
90,-5.641,10,geheel jaar,gewogen gemiddelde
90,-5.681,10,alleen zomer,gewogen gemiddelde
90,-5.693,10,alleen zomer,Gumbel fit
90,-5.614,10,geheel jaar,Gumbel fit
90,-5.56,25,geheel jaar,Gumbel fit
90,-5.52,50,geheel jaar,Gumbel fit
90,-5.479,100,geheel jaar,Gumbel fit
144,-3.139,10,geheel jaar,gewogen gemiddelde
144,-3.156,10,alleen zomer,gewogen gemiddelde
144,-3.155,10,alleen zomer,Gumbel fit
144,-3.128,10,geheel jaar,Gumbel fit
144,-3.107,25,geheel jaar,Gumbel fit
144,-3.091,50,geheel jaar,Gumbel fit
144,-3.075,100,geheel jaar,Gumbel fit
95,-5.693,10,geheel jaar,gewogen gemiddelde
95,-5.73,10,alleen zomer,gewogen gemiddelde
95,-5.743,10,alleen zomer,Gumbel fit
95,-5.662,10,geheel jaar,Gumbel fit
95,-5.604,25,geheel jaar,Gumbel fit
95,-5.561,50,geheel jaar,Gumbel fit
95,-5.517,100,geheel jaar,Gumbel fit
100,-5.683,10,geheel jaar,gewogen gemiddelde
100,-5.719,10,alleen zomer,gewogen gemiddelde
100,-5.733,10,alleen zomer,Gumbel fit
100,-5.653,10,geheel jaar,Gumbel fit
100,-5.597,25,geheel jaar,Gumbel fit
100,-5.554,50,geheel jaar,Gumbel fit
100,-5.512,100,geheel jaar,Gumbel fit
488,-5.686,10,geheel jaar,gewogen gemiddelde
488,-5.722,10,alleen zomer,gewogen gemiddelde
488,-5.735,10,alleen zomer,Gumbel fit
488,-5.656,10,geheel jaar,Gumbel fit
488,-5.599,25,geheel jaar,Gumbel fit
488,-5.556,50,geheel jaar,Gumbel fit
488,-5.513,100,geheel jaar,Gumbel fit
38,-5.617,10,geheel jaar,gewogen gemiddelde
38,-5.698,10,alleen zomer,gewogen gemiddelde
38,-5.697,10,alleen zomer,Gumbel fit
38,-5.6,10,geheel jaar,Gumbel fit
38,-5.552,25,geheel jaar,Gumbel fit
38,-5.515,50,geheel jaar,Gumbel fit
38,-5.478,100,geheel jaar,Gumbel fit
166,-5.183,10,geheel jaar,gewogen gemiddelde
166,-5.198,10,alleen zomer,gewogen gemiddelde
166,-5.193,10,alleen zomer,Gumbel fit
166,-5.182,10,geheel jaar,Gumbel fit
166,-5.17,25,geheel jaar,Gumbel fit
166,-5.161,50,geheel jaar,Gumbel fit
166,-5.152,100,geheel jaar,Gumbel fit
163,-5.139,10,geheel jaar,gewogen gemiddelde
163,-5.139,10,alleen zomer,gewogen gemiddelde
163,-5.139,10,alleen zomer,Gumbel fit
163,-5.139,10,geheel jaar,Gumbel fit
163,-5.139,25,geheel jaar,Gumbel fit
