location,calc_1,De Bilt,Verdamping,De Bilt Test
parameter,Waterlevel mean (m A,Precipitation (mm),Precipitation (mm),Precipitation (mm)
1950-01-01 23:00:00,-0.5805372595787048,18.95424,0.0,22.74509
1950-01-01 23:15:00,-0.5659548044204712,,,
1950-01-01 23:30:00,-0.5390071272850037,,,
1950-01-01 23:45:00,-0.5090463757514954,,,
1950-01-02 00:00:00,-0.4746111035346985,10.397269999999999,0.0,12.47672
1950-01-02 00:15:00,-0.4388669729232788,,,
1950-01-02 00:30:00,-0.40692806243896484,,,
1950-01-02 00:45:00,-0.3766804337501526,,,
1950-01-02 01:00:00,-0.34808349609375,6.93152,0.0,8.317824
1950-01-02 01:15:00,-0.3226872682571411,,,
1950-01-02 01:30:00,-0.30189749598503113,,,
1950-01-02 01:45:00,-0.2844069302082062,,,
1950-01-02 02:00:00,-0.2696486711502075,1.8963599999999998,0.0,2.275632
1950-01-02 02:15:00,-0.25903624296188354,,,
1950-01-02 02:30:00,-0.2545405328273773,,,
1950-01-02 02:45:00,-0.2542283236980438,,,
1950-01-02 03:00:00,-0.256959468126297,3.46576,0.0,4.158912
1950-01-02 03:15:00,-0.2613164782524109,,,
1950-01-02 03:30:00,-0.26579606533050537,,,
1950-01-02 03:45:00,-0.27038976550102234,,,
1950-01-02 04:00:00,-0.27494850754737854,1.7095200000000002,0.0,2.0514240000000004
1950-01-02 04:15:00,-0.2800954282283783,,,
1950-01-02 04:30:00,-0.286759614944458,,,
1950-01-02 04:45:00,-0.29433831572532654,,,
1950-01-02 05:00:00,-0.30257028341293335,3.06407,0.0,3.676884
1950-01-02 05:15:00,-0.3106854557991028,,,
1950-01-02 05:30:00,-0.31790992617607117,,,
1950-01-02 05:45:00,-0.32427650690078735,,,
1950-01-02 06:00:00,-0.32995012402534485,1.75623,0.0,2.1074759999999997
1950-01-02 06:15:00,-0.3357861638069153,,,
1950-01-02 06:30:00,-0.34236687421798706,,,
1950-01-02 06:45:00,-0.34940919280052185,,,
1950-01-02 07:00:00,-0.35671404004096985,1.1490200000000002,0.0,1.378824
1950-01-02 07:15:00,-0.3643048405647278,,,
1950-01-02 07:30:00,-0.37272146344184875,,,
1950-01-02 07:45:00,-0.3816808760166168,,,
1950-01-02 08:00:00,-0.39073053002357483,0.9248200000000001,0.0,1.109784
1950-01-02 08:15:00,-0.40021929144859314,,,
1950-01-02 08:30:00,-0.40989944338798523,,,
1950-01-02 08:45:00,-0.41973477602005005,,,
1950-01-02 09:00:00,-0.4296432435512543,1.3452,0.0,1.61424
1950-01-02 09:15:00,-0.43933331966400146,,,
1950-01-02 09:30:00,-0.4485369920730591,,,
1950-01-02 09:45:00,-0.45722493529319763,,,
1950-01-02 10:00:00,-0.46544063091278076,1.121,0.0,1.3452
1950-01-02 10:15:00,-0.47351664304733276,,,
1950-01-02 10:30:00,-0.48150351643562317,,,
1950-01-02 10:45:00,-0.4893619120121002,,,
1950-01-02 11:00:00,-0.49705174565315247,1.21442,0.0,1.4573040000000002
1950-01-02 11:15:00,-0.5045825242996216,,,
1950-01-02 11:30:00,-0.5116471648216248,,,
1950-01-02 11:45:00,-0.5147234797477722,,,
1950-01-02 12:00:00,-0.5173153877258301,0.8781200000000001,0.0,1.053744
1950-01-02 12:15:00,-0.5194845199584961,,,
1950-01-02 12:30:00,-0.5218491554260254,,,
1950-01-02 12:45:00,-0.5243460536003113,,,
1950-01-02 13:00:00,-0.5262923836708069,0.95285,0.0,1.14342
1950-01-02 13:15:00,-0.5279092788696289,,,
1950-01-02 13:30:00,-0.5295864343643188,,,
1950-01-02 13:45:00,-0.5310524702072144,,,
1950-01-02 14:00:00,-0.5326673984527588,2.09253,0.0,2.5110360000000003
1950-01-02 14:15:00,-0.533510684967041,,,
1950-01-02 14:30:00,-0.5331444144248962,,,
1950-01-02 14:45:00,-0.5327058434486389,,,
1950-01-02 15:00:00,-0.5318762063980103,0.62073,0.0,0.744876
1950-01-02 15:15:00,-0.5318685173988342,,,
1950-01-02 15:30:00,-0.5332215428352356,,,
1950-01-02 15:45:00,-0.5348924398422241,,,
1950-01-02 16:00:00,-0.5366451740264893,0.46826999999999996,0.0,0.561924
1950-01-02 16:15:00,-0.538921594619751,,,
1950-01-02 16:30:00,-0.5416111946105957,,,
1950-01-02 16:45:00,-0.5427230596542358,,,
1950-01-02 17:00:00,-0.5443738698959351,0.8820899999999999,0.0,1.058508
1950-01-02 17:15:00,-0.5463410019874573,,,
1950-01-02 17:30:00,-0.5480601787567139,,,
1950-01-02 17:45:00,-0.5497837066650391,,,
1950-01-02 18:00:00,-0.5522173047065735,0.67518,0.0,0.8102159999999999
1950-01-02 18:15:00,-0.5540584325790405,,,
1950-01-02 18:30:00,-0.5557374954223633,,,
1950-01-02 18:45:00,-0.5574080944061279,,,
1950-01-02 19:00:00,-0.5597104430198669,0.0,0.0,0.0
1950-01-02 19:15:00,-0.5617852210998535,,,
1950-01-02 19:30:00,-0.5631635785102844,,,
1950-01-02 19:45:00,-0.5648496150970459,,,
1950-01-02 20:00:00,-0.5669434070587158,0.53361,0.0,0.640332
1950-01-02 20:15:00,-0.5694501996040344,,,
1950-01-02 20:30:00,-0.5715494155883789,,,
1950-01-02 20:45:00,-0.5735539197921753,,,
1950-01-02 21:00:00,-0.5743177533149719,0.29403,0.0,0.35283600000000004
1950-01-02 21:15:00,-0.5743852257728577,,,
1950-01-02 21:30:00,-0.5749885439872742,,,
1950-01-02 21:45:00,-0.5764614343643188,,,
1950-01-02 22:00:00,-0.5791275501251221,0.0,0.0,0.0
1950-01-02 22:15:00,-0.5798446536064148,,,
1950-01-02 22:30:00,-0.5796020030975342,,,
1950-01-02 22:45:00,-0.579846203327179,,,
1950-01-02 23:00:00,-0.580400824546814,0.0,0.0,0.0
1950-01-02 23:15:00,-0.5823701024055481,,,
1950-01-02 23:30:00,-0.584169328212738,,,
1950-01-02 23:45:00,-0.5854036211967468,,,
1950-01-03 00:00:00,-0.5868809223175049,0.0,0.0,0.0
1950-01-03 00:15:00,-0.5885063409805298,,,
1950-01-03 00:30:00,-0.5901572704315186,,,
1950-01-03 00:45:00,-0.5919924378395081,,,
1950-01-03 01:00:00,-0.594030499458313,0.0,0.0,0.0
1950-01-03 01:15:00,-0.5947988033294678,,,
1950-01-03 01:30:00,-0.5958675146102905,,,
1950-01-03 01:45:00,-0.5967310667037964,,,
1950-01-03 02:00:00,-0.5974311232566833,0.0,0.0,0.0
1950-01-03 02:15:00,-0.5980822443962097,,,
