location,1,De Bilt,Verdamping,De Bilt Test
parameter,Waterlevel slope mea,Precipitation (mm),Precipitation (mm),Precipitation (mm)
1950-01-02 00:45:00,-999.9990234375,,,
1950-01-02 01:00:00,-999.9990234375,6.93152,0.0,8.317824
1950-01-02 01:15:00,-999.9990234375,,,
1950-01-02 01:30:00,-999.9990234375,,,
1950-01-02 01:45:00,-999.9990234375,,,
1950-01-02 02:00:00,-999.9990234375,1.8963599999999998,0.0,2.275632
1950-01-02 02:15:00,-999.9990234375,,,
1950-01-02 02:30:00,-999.9990234375,,,
1950-01-02 02:45:00,-999.9990234375,,,
1950-01-02 03:00:00,-999.9990234375,3.46576,0.0,4.158912
1950-01-02 03:15:00,-999.9990234375,,,
1950-01-02 03:30:00,-999.9990234375,,,
1950-01-02 03:45:00,-999.9990234375,,,
1950-01-02 04:00:00,-999.9990234375,1.7095200000000002,0.0,2.0514240000000004
1950-01-02 04:15:00,-999.9990234375,,,
1950-01-02 04:30:00,-999.9990234375,,,
1950-01-02 04:45:00,-999.9990234375,,,
1950-01-02 05:00:00,-999.9990234375,3.06407,0.0,3.676884
1950-01-02 05:15:00,-999.9990234375,,,
1950-01-02 05:30:00,-999.9990234375,,,
1950-01-02 05:45:00,-999.9990234375,,,
1950-01-02 06:00:00,-999.9990234375,1.75623,0.0,2.1074759999999997
1950-01-02 06:15:00,-999.9990234375,,,
1950-01-02 06:30:00,-999.9990234375,,,
1950-01-02 06:45:00,-999.9990234375,,,
1950-01-02 07:00:00,-999.9990234375,1.1490200000000002,0.0,1.378824
1950-01-02 07:15:00,-999.9990234375,,,
1950-01-02 07:30:00,-999.9990234375,,,
1950-01-02 07:45:00,-999.9990234375,,,
1950-01-02 08:00:00,-999.9990234375,0.9248200000000001,0.0,1.109784
1950-01-02 08:15:00,-999.9990234375,,,
1950-01-02 08:30:00,-999.9990234375,,,
1950-01-02 08:45:00,-999.9990234375,,,
1950-01-02 09:00:00,-999.9990234375,1.3452,0.0,1.61424
1950-01-02 09:15:00,-999.9990234375,,,
1950-01-02 09:30:00,-999.9990234375,,,
1950-01-02 09:45:00,-999.9990234375,,,
1950-01-02 10:00:00,-999.9990234375,1.121,0.0,1.3452
1950-01-02 10:15:00,-999.9990234375,,,
1950-01-02 10:30:00,-999.9990234375,,,
1950-01-02 10:45:00,-999.9990234375,,,
1950-01-02 11:00:00,-999.9990234375,1.21442,0.0,1.4573040000000002
1950-01-02 11:15:00,-999.9990234375,,,
1950-01-02 11:30:00,-999.9990234375,,,
1950-01-02 11:45:00,-999.9990234375,,,
1950-01-02 12:00:00,-999.9990234375,0.8781200000000001,0.0,1.053744
1950-01-02 12:15:00,-999.9990234375,,,
1950-01-02 12:30:00,-999.9990234375,,,
1950-01-02 12:45:00,-999.9990234375,,,
1950-01-02 13:00:00,-999.9990234375,0.95285,0.0,1.14342
1950-01-02 13:15:00,-999.9990234375,,,
1950-01-02 13:30:00,-999.9990234375,,,
1950-01-02 13:45:00,-999.9990234375,,,
1950-01-02 14:00:00,-999.9990234375,2.09253,0.0,2.5110360000000003
1950-01-02 14:15:00,-999.9990234375,,,
1950-01-02 14:30:00,-999.9990234375,,,
1950-01-02 14:45:00,-999.9990234375,,,
1950-01-02 15:00:00,-999.9990234375,0.62073,0.0,0.744876
1950-01-02 15:15:00,-999.9990234375,,,
1950-01-02 15:30:00,-999.9990234375,,,
1950-01-02 15:45:00,-999.9990234375,,,
1950-01-02 16:00:00,-999.9990234375,0.46826999999999996,0.0,0.561924
1950-01-02 16:15:00,-999.9990234375,,,
1950-01-02 16:30:00,-999.9990234375,,,
1950-01-02 16:45:00,-999.9990234375,,,
1950-01-02 17:00:00,-999.9990234375,0.8820899999999999,0.0,1.058508
1950-01-02 17:15:00,-999.9990234375,,,
1950-01-02 17:30:00,-999.9990234375,,,
1950-01-02 17:45:00,-999.9990234375,,,
1950-01-02 18:00:00,-999.9990234375,0.67518,0.0,0.8102159999999999
1950-01-02 18:15:00,-999.9990234375,,,
1950-01-02 18:30:00,-999.9990234375,,,
1950-01-02 18:45:00,-999.9990234375,,,
1950-01-02 19:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-02 19:15:00,-999.9990234375,,,
1950-01-02 19:30:00,-999.9990234375,,,
1950-01-02 19:45:00,-999.9990234375,,,
1950-01-02 20:00:00,-999.9990234375,0.53361,0.0,0.640332
1950-01-02 20:15:00,-999.9990234375,,,
1950-01-02 20:30:00,-999.9990234375,,,
1950-01-02 20:45:00,-999.9990234375,,,
1950-01-02 21:00:00,-999.9990234375,0.29403,0.0,0.35283600000000004
1950-01-02 21:15:00,-999.9990234375,,,
1950-01-02 21:30:00,-999.9990234375,,,
1950-01-02 21:45:00,-999.9990234375,,,
1950-01-02 22:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-02 22:15:00,-999.9990234375,,,
1950-01-02 22:30:00,-999.9990234375,,,
1950-01-02 22:45:00,-999.9990234375,,,
1950-01-02 23:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-02 23:15:00,-999.9990234375,,,
1950-01-02 23:30:00,-999.9990234375,,,
1950-01-02 23:45:00,-999.9990234375,,,
1950-01-03 00:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 00:15:00,-999.9990234375,,,
1950-01-03 00:30:00,-999.9990234375,,,
1950-01-03 00:45:00,-999.9990234375,,,
1950-01-03 01:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 01:15:00,-999.9990234375,,,
1950-01-03 01:30:00,-999.9990234375,,,
1950-01-03 01:45:00,-999.9990234375,,,
1950-01-03 02:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 02:15:00,-999.9990234375,,,
1950-01-03 02:30:00,-999.9990234375,,,
1950-01-03 02:45:00,-999.9990234375,,,
1950-01-03 03:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 03:15:00,-999.9990234375,,,
1950-01-03 03:30:00,-999.9990234375,,,
1950-01-03 03:45:00,-999.9990234375,,,
1950-01-03 04:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 04:15:00,-999.9990234375,,,
1950-01-03 04:30:00,-999.9990234375,,,
1950-01-03 04:45:00,-999.9990234375,,,
1950-01-03 05:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 05:15:00,-999.9990234375,,,
1950-01-03 05:30:00,-999.9990234375,,,
1950-01-03 05:45:00,-999.9990234375,,,
1950-01-03 06:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 06:15:00,-999.9990234375,,,
1950-01-03 06:30:00,-999.9990234375,,,
1950-01-03 06:45:00,-999.9990234375,,,
1950-01-03 07:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 07:15:00,-999.9990234375,,,
1950-01-03 07:30:00,-999.9990234375,,,
1950-01-03 07:45:00,-999.9990234375,,,
1950-01-03 08:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 08:15:00,-999.9990234375,,,
1950-01-03 08:30:00,-999.9990234375,,,
1950-01-03 08:45:00,-999.9990234375,,,
1950-01-03 09:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 09:15:00,-999.9990234375,,,
1950-01-03 09:30:00,-999.9990234375,,,
1950-01-03 09:45:00,-999.9990234375,,,
1950-01-03 10:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 10:15:00,-999.9990234375,,,
1950-01-03 10:30:00,-999.9990234375,,,
1950-01-03 10:45:00,-999.9990234375,,,
1950-01-03 11:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 11:15:00,-999.9990234375,,,
1950-01-03 11:30:00,-999.9990234375,,,
1950-01-03 11:45:00,-999.9990234375,,,
1950-01-03 12:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 12:15:00,-999.9990234375,,,
1950-01-03 12:30:00,-999.9990234375,,,
1950-01-03 12:45:00,-999.9990234375,,,
1950-01-03 13:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 13:15:00,-999.9990234375,,,
1950-01-03 13:30:00,-999.9990234375,,,
1950-01-03 13:45:00,-999.9990234375,,,
1950-01-03 14:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 14:15:00,-999.9990234375,,,
1950-01-03 14:30:00,-999.9990234375,,,
1950-01-03 14:45:00,-999.9990234375,,,
1950-01-03 15:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 15:15:00,-999.9990234375,,,
1950-01-03 15:30:00,-999.9990234375,,,
1950-01-03 15:45:00,-999.9990234375,,,
1950-01-03 16:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 16:15:00,-999.9990234375,,,
1950-01-03 16:30:00,-999.9990234375,,,
1950-01-03 16:45:00,-999.9990234375,,,
1950-01-03 17:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 17:15:00,-999.9990234375,,,
1950-01-03 17:30:00,-999.9990234375,,,
1950-01-03 17:45:00,-999.9990234375,,,
1950-01-03 18:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 18:15:00,-999.9990234375,,,
1950-01-03 18:30:00,-999.9990234375,,,
1950-01-03 18:45:00,-999.9990234375,,,
1950-01-03 19:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 19:15:00,-999.9990234375,,,
1950-01-03 19:30:00,-999.9990234375,,,
1950-01-03 19:45:00,-999.9990234375,,,
1950-01-03 20:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 20:15:00,-999.9990234375,,,
1950-01-03 20:30:00,-999.9990234375,,,
1950-01-03 20:45:00,-999.9990234375,,,
1950-01-03 21:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 21:15:00,-999.9990234375,,,
1950-01-03 21:30:00,-999.9990234375,,,
1950-01-03 21:45:00,-999.9990234375,,,
1950-01-03 22:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 22:15:00,-999.9990234375,,,
1950-01-03 22:30:00,-999.9990234375,,,
1950-01-03 22:45:00,-999.9990234375,,,
1950-01-03 23:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-03 23:15:00,-999.9990234375,,,
1950-01-03 23:30:00,-999.9990234375,,,
1950-01-03 23:45:00,-999.9990234375,,,
1950-01-04 00:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-04 00:15:00,-999.9990234375,,,
1950-01-04 00:30:00,-999.9990234375,,,
1950-01-04 00:45:00,-999.9990234375,,,
1950-01-04 01:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-04 01:15:00,-999.9990234375,,,
1950-01-04 01:30:00,-999.9990234375,,,
1950-01-04 01:45:00,-999.9990234375,,,
1950-01-04 02:00:00,-999.9990234375,0.0,0.0,0.0
1950-01-04 02:15:00,-999.9990234375,,,
1950-01-04 02:30:00,-999.9990234375,,,
1950-01-04 02:45:00,-999.9990234375,,,
